CustomerID,Name,Age,CreditScore,TransactionAmount,LoanAmount,LatePayments
e11fa949-37eb-4999-bdbd-5d3c401b80fa,Chloe Cooke,43.0,592.0,5014.0,2678.0,2.0
416c9fe3-d43b-45a5-978e-aa8a4311b5c9,Curtis Nguyen,36.0,337.0,2265.0,1354.0,5.0
b1b99342-704e-449f-90f7-2c5287518e1f,Joseph Gonzalez,47.0,529.0,2975.0,4134.0,2.0
67a301f6-c1ad-49be-92f6-36e6201c82ac,Anthony Webster,32.0,810.0,4140.0,2108.0,2.0
a90ff7c6-c1ac-4fe5-896f-dfb1685b7a3b,Felicia Blair,63.0,394.0,6080.0,4282.0,0.0
9b2239f3-8556-4c7a-acf8-03ab4f82540a,Kerry Cole,31.0,494.0,7020.0,428.0,1.0
8a7a368f-1fed-485e-bb61-c7a3ae72ed81,Jeffrey Holden,37.0,313.0,9191.0,3835.0,3.0
5ca1a40c-eba4-41ac-89cc-6a41126362a2,Christopher Padilla,42.0,341.0,7173.0,361.0,5.0
4bb47514-3d57-4c12-bcf9-f0ca9c2f4d51,Christopher Williams,37.0,835.0,3108.0,1186.0,1.0
f42056ca-dd73-44cd-85d0-2630408876f2,Christopher Parker,52.0,490.0,3591.0,2881.0,1.0
27d2b361-1a83-4436-beb5-930fb31bca5a,John Garcia,46.0,628.0,1251.0,1589.0,1.0
f19bbd67-08f3-4e2d-9ae4-fc708a75d4d9,Grant Armstrong,24.0,664.0,5503.0,2167.0,2.0
e52a9f86-6305-42bd-a289-8d69f80cc8e2,Alexa Hunt,34.0,809.0,4673.0,1661.0,0.0
a5796266-02d9-4e54-a68c-df40f0d54d3a,Rebekah Simon,31.0,306.0,3800.0,3695.0,1.0
2175bae0-bd8d-4085-a2a2-b70f29d0e7c8,Elizabeth Warren,63.0,418.0,9283.0,4712.0,0.0
554c73f6-677d-42f9-affc-02681efce62d,Carol Blevins,42.0,315.0,9067.0,3779.0,2.0
e5efccb3-3879-4cf7-a68a-d9073247c2d6,John Perez,39.0,314.0,8331.0,4715.0,4.0
182e32a1-cb55-4aa2-a041-b6196df6ce66,Jennifer Lowe,60.0,656.0,508.0,654.0,0.0
51ca2b5d-abf4-43b0-9f1b-dc84db820b82,Betty Wilson,52.0,388.0,5842.0,948.0,5.0
42c9d644-fb32-4529-8e65-99e8a8cb47d6,Melissa Howard,52.0,799.0,274.0,3660.0,3.0
12cc51c3-303f-4c7a-9320-0de4f06e8ef0,Megan Schultz,35.0,844.0,2638.0,3980.0,5.0
722dc04d-2abb-4ed5-83ae-5778b18d019e,Nathan Powell,23.0,363.0,1721.0,1272.0,2.0
50ea5715-8919-412c-b091-534ad80977bc,Vicki Butler,41.0,331.0,5286.0,3802.0,3.0
5102d1bc-6e5c-42f5-914e-45067a962061,Ryan Harvey,62.0,336.0,7966.0,4925.0,2.0
6a58a1e5-eb7c-4f3c-a922-835afd71e22f,Sharon Harmon,53.0,468.0,6539.0,4923.0,1.0
6525dab8-8c86-4398-a376-6ed327ceeb36,Virginia Knox,49.0,542.0,8977.0,2148.0,2.0
74cb6b53-f3a6-4abf-926f-8f3fdcacba01,Christine Jones,34.0,415.0,7077.0,3631.0,3.0
60334f55-37d1-4ace-9ced-9236b2bd506f,Pedro Austin,33.0,532.0,7183.0,2971.0,4.0
c27dc829-85c2-48c8-91ab-9ae4e0e9b327,Matthew Barnes,38.0,647.0,8450.0,2535.0,1.0
29854fad-7715-490f-b2f6-fe7582bd59ec,Michael Jackson,39.0,353.0,9479.0,961.0,2.0
5f47dd77-2e38-4bc7-9049-d75f88e9a749,Roberto Lopez,62.0,638.0,8144.0,236.0,1.0
6376fc11-b783-4cd7-b84b-9c9d77ce1dab,Casey Ward,46.0,808.0,9873.0,703.0,3.0
e79f80d6-d4f7-460b-8c73-d42e47ba58dd,Steven Ferrell,37.0,590.0,1101.0,2440.0,5.0
e91710ba-269b-471b-a912-95fbad2bc04b,Travis George,53.0,654.0,6985.0,2820.0,3.0
fe3aa5b0-bf62-4b16-b856-be7c6d6fc5e2,Charles Miller,56.0,544.0,9047.0,3627.0,2.0
e4b2afcb-1cde-4bf8-9652-7ef62671c408,Felicia Diaz,50.0,761.0,2167.0,4039.0,3.0
0a50ad4e-77ad-4595-a71b-7e071c460b04,John Greer,37.0,492.0,7034.0,4040.0,3.0
a778cafa-a672-4570-8770-d462536c16a4,John Davis,62.0,848.0,6318.0,2177.0,2.0
b994b42e-85f9-4dfe-93c8-1f87a336983b,Jennifer Vaughn,36.0,814.0,1566.0,1660.0,2.0
7a7fddfe-3cc5-4a2d-af13-ca882dd18bf8,Megan Barnett,54.0,613.0,4532.0,4830.0,3.0
20a45c1e-ac6a-4b22-b226-ca2a51336876,Charles Smith,43.0,305.0,4223.0,4916.0,2.0
a4e100e1-f415-4fae-93fe-069023ca29ed,Dana Bush,50.0,700.0,5110.0,126.0,0.0
af2c763b-99ff-42d4-9293-6ae1634c97d8,Jonathan Perez,60.0,478.0,1799.0,2081.0,0.0
7ca4f74a-564a-41cf-9882-3c015b064724,Kim Campbell,27.0,384.0,3023.0,282.0,2.0
ee527ae6-0960-4f69-b470-cc7d6a15d729,Rebecca King,31.0,596.0,3469.0,3878.0,2.0
